Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,66,66.5,65.9199981689453,66.2200012207031,66.2200012207031,1575000
2010-01-05,66.3899993896484,66.5899963378906,66.1500015258789,66.5400009155273,66.5400009155273,1310000
2010-01-06,66.5,66.5,66.1999969482422,66.1999969482422,66.1999969482422,1760000
2010-01-07,66.1999969482422,66.5100021362305,66.1399993896484,66.4599990844727,66.4599990844727,1505000
2010-01-08,66.4800033569336,66.4800033569336,66.3000030517578,66.4400024414063,66.4400024414063,1500000
2010-01-11,66.6399993896484,66.870002746582,66.1600036621094,66.5,66.5,2620000
2010-01-12,66.2200012207031,66.5400009155273,66,66,66,1740000
2010-01-13,66.2200012207031,66.4599990844727,65.9899978637695,66,66,1535000
2010-01-14,66.1999969482422,66.1999969482422,65.8499984741211,65.9599990844727,65.9599990844727,1325000
2010-01-15,66.3000030517578,66.3000030517578,64.7200012207031,64.9400024414063,64.9400024414063,2570000
2010-01-19,65.5199966430664,66.7600021362305,65.25,66.6399993896484,66.6399993896484,5535000
2010-01-20,67.5199966430664,70.0500030517578,66.8000030517578,69.5199966430664,69.5199966430664,12475000
2010-01-21,71.129997253418,73.4300003051758,70.5100021362305,72.7200012207031,72.7200012207031,14497200
2010-01-22,72.9000015258789,73.2699966430664,69.3600006103516,70.0999984741211,70.0999984741211,8783200
2010-01-25,71.4800033569336,71.7699966430664,68.2200012207031,68.8399963378906,68.8399963378906,6568600
2010-01-26,69.3300018310547,69.6800003051758,67.870002746582,68,68,5233900
2010-01-27,73.2799987792969,73.2799987792969,69.9100036621094,71.3600006103516,71.3600006103516,19886200
2010-01-28,71.9400024414063,73.9899978637695,71.7900009155273,73.75,73.75,14114100
2010-01-29,74.5500030517578,77.7900009155273,74.4199981689453,76.4300003051758,76.4300003051758,17297400
2010-02-01,77.7900009155273,78,74.620002746582,75.4100036621094,75.4100036621094,13131500
2010-02-02,75.6999969482422,76.1699981689453,74.9100036621094,75.5100021362305,75.5100021362305,7978500
2010-02-03,75.4300003051758,75.5100021362305,74.1500015258789,74.3600006103516,74.3600006103516,7204000
2010-02-04,73.8000030517578,73.8000030517578,72.0500030517578,72.6100006103516,72.6100006103516,11190200
2010-02-05,72.25,73.6900024414063,71.6100006103516,73.5699996948242,73.5699996948242,11737900
2010-02-08,73.9899978637695,74.5,72.9300003051758,74.2300033569336,74.2300033569336,11992500
2010-02-09,74.7200012207031,74.7200012207031,73.9000015258789,74.5299987792969,74.5299987792969,13563700
2010-02-10,74.5400009155273,74.5899963378906,74.25,74.4199981689453,74.4199981689453,13792400
2010-02-11,74.5,76.8000030517578,74.1500015258789,76.6900024414063,76.6900024414063,23040200
